ID	KO	PathID	PathName
ACKR4_HUMAN	K04186	path:ko04061	Viral protein interaction with cytokine and cytokine receptor
ACKR4_HUMAN	K04186	path:ko04060	Cytokine-cytokine receptor interaction
3HIDH_HUMAN	K00020	path:ko00280	Valine, leucine and isoleucine degradation
1433G_HUMAN	K16198	path:ko04110	Cell cycle
1433G_HUMAN	K16198	path:ko05160	Hepatitis C
1433G_HUMAN	K16198	path:ko04151	PI3K-Akt signaling pathway
1433G_HUMAN	K16198	path:ko05203	Viral carcinogenesis
1433G_HUMAN	K16198	path:ko04390	Hippo signaling pathway
1433G_HUMAN	K16198	path:ko04114	Oocyte meiosis
ACL6B_HUMAN	K11652	path:ko05225	Hepatocellular carcinoma
ACL6B_HUMAN	K11652	path:ko04714	Thermogenesis
ADH1B_HUMAN	K13951	path:ko00980	Metabolism of xenobiotics by cytochrome P450
ADH1B_HUMAN	K13951	path:ko00010	Glycolysis / Gluconeogenesis
ADH1B_HUMAN	K13951	path:ko00830	Retinol metabolism
ADH1B_HUMAN	K13951	path:ko00350	Tyrosine metabolism
ADH1B_HUMAN	K13951	path:ko00982	Drug metabolism - cytochrome P450
ADH1B_HUMAN	K13951	path:ko00071	Fatty acid degradation
ADH1B_HUMAN	K13951	path:ko05204	Chemical carcinogenesis
5HT3C_HUMAN	K04819	path:ko04742	Taste transduction
5HT3C_HUMAN	K04819	path:ko04726	Serotonergic synapse
AA2AR_HUMAN	K04266	path:ko05034	Alcoholism
AA2AR_HUMAN	K04266	path:ko05012	Parkinson disease
AA2AR_HUMAN	K04266	path:ko04020	Calcium signaling pathway
AA2AR_HUMAN	K04266	path:ko04015	Rap1 signaling pathway
AA2AR_HUMAN	K04266	path:ko04024	cAMP signaling pathway
AA2AR_HUMAN	K04266	path:ko04080	Neuroactive ligand-receptor interaction
AA2AR_HUMAN	K04266	path:ko04270	Vascular smooth muscle contraction
ADT4_HUMAN	K05863	path:ko05012	Parkinson disease
ADT4_HUMAN	K05863	path:ko04020	Calcium signaling pathway
ADT4_HUMAN	K05863	path:ko04022	cGMP-PKG signaling pathway
ADT4_HUMAN	K05863	path:ko04217	Necroptosis
ADT4_HUMAN	K05863	path:ko05164	Influenza A
ADT4_HUMAN	K05863	path:ko04218	Cellular senescence
ADT4_HUMAN	K05863	path:ko05016	Huntington disease
ADT4_HUMAN	K05863	path:ko05166	Human T-cell leukemia virus 1 infection
ADT4_HUMAN	K05863	path:ko05010	Alzheimer disease
AGO2_HUMAN	K11593	path:ko04361	Axon regeneration
ADCY4_HUMAN	K08044	path:ko04072	Phospholipase D signaling pathway
ADCY4_HUMAN	K08044	path:ko04913	Ovarian steroidogenesis
ADCY4_HUMAN	K08044	path:ko04611	Platelet activation
ADCY4_HUMAN	K08044	path:ko04024	cAMP signaling pathway
ADCY4_HUMAN	K08044	path:ko04970	Salivary secretion
ADCY4_HUMAN	K08044	path:ko04921	Oxytocin signaling pathway
ADCY4_HUMAN	K08044	path:ko04211	Longevity regulating pathway
ADCY4_HUMAN	K08044	path:ko04911	Insulin secretion
ADCY4_HUMAN	K08044	path:ko04540	Gap junction
ADCY4_HUMAN	K08044	path:ko04926	Relaxin signaling pathway
ADCY4_HUMAN	K08044	path:ko04213	Longevity regulating pathway - multiple species
ADCY4_HUMAN	K08044	path:ko04915	Estrogen signaling pathway
ADCY4_HUMAN	K08044	path:ko04727	GABAergic synapse
ADCY4_HUMAN	K08044	path:ko04724	Glutamatergic synapse
ADCY4_HUMAN	K08044	path:ko05032	Morphine addiction
ADCY4_HUMAN	K08044	path:ko05200	Pathways in cancer
ADCY4_HUMAN	K08044	path:ko04742	Taste transduction
