FunctionID	FunctionName	ID
PTHR10000	PHOSPHOSERINE PHOSPHATASE	SERB_HUMAN
PTHR10003	SUPEROXIDE DISMUTASE [CU-ZN]-RELATED	CCS_HUMAN
PTHR10003	SUPEROXIDE DISMUTASE [CU-ZN]-RELATED	SODC_HUMAN
PTHR10003	SUPEROXIDE DISMUTASE [CU-ZN]-RELATED	SODE_HUMAN
PTHR10005	SKI ONCOGENE-RELATED	SKIL_HUMAN
PTHR10005	SKI ONCOGENE-RELATED	SKI_HUMAN
PTHR10005	SKI ONCOGENE-RELATED	SKOR1_HUMAN
PTHR10005	SKI ONCOGENE-RELATED	SKOR2_HUMAN
PTHR10006	MUCIN-1-RELATED	MUC1_HUMAN
PTHR10010	SOLUTE CARRIER FAMILY 34 (SODIUM PHOSPHATE), MEMBER 2-RELATED	NPT2A_HUMAN
PTHR10010	SOLUTE CARRIER FAMILY 34 (SODIUM PHOSPHATE), MEMBER 2-RELATED	NPT2B_HUMAN
PTHR10010	SOLUTE CARRIER FAMILY 34 (SODIUM PHOSPHATE), MEMBER 2-RELATED	NPT2C_HUMAN
PTHR10012	SERINE/THREONINE-PROTEIN PHOSPHATASE 2A REGULATORY SUBUNIT B	PTPA_HUMAN
PTHR10013	GENERAL VESICULAR TRANSPORT FACTOR P115	USO1_HUMAN
PTHR10014	BASIC HELIX-LOOP-HELIX/LEUCINE ZIPPER TRANSCRIPTION FACTOR	MITF_HUMAN
PTHR10014	BASIC HELIX-LOOP-HELIX/LEUCINE ZIPPER TRANSCRIPTION FACTOR	TFE3_HUMAN
PTHR10014	BASIC HELIX-LOOP-HELIX/LEUCINE ZIPPER TRANSCRIPTION FACTOR	TFEB_HUMAN
PTHR10014	BASIC HELIX-LOOP-HELIX/LEUCINE ZIPPER TRANSCRIPTION FACTOR	TFEC_HUMAN
PTHR10015	HEAT SHOCK TRANSCRIPTION FACTOR	HSF1_HUMAN
PTHR10015	HEAT SHOCK TRANSCRIPTION FACTOR	HSF2_HUMAN
PTHR10015	HEAT SHOCK TRANSCRIPTION FACTOR	HSF4_HUMAN
PTHR10015	HEAT SHOCK TRANSCRIPTION FACTOR	HSF5_HUMAN
PTHR10015	HEAT SHOCK TRANSCRIPTION FACTOR	HSFX1_HUMAN
PTHR10015	HEAT SHOCK TRANSCRIPTION FACTOR	HSFY1_HUMAN
PTHR10019	SNF5	SNF5_HUMAN
PTHR10024	SYNAPTOTAGMIN	C2C4A_HUMAN
PTHR10024	SYNAPTOTAGMIN	C2C4B_HUMAN
PTHR10024	SYNAPTOTAGMIN	C2C4C_HUMAN
PTHR10024	SYNAPTOTAGMIN	C2CD5_HUMAN
PTHR10024	SYNAPTOTAGMIN	C2D4D_HUMAN
PTHR10024	SYNAPTOTAGMIN	DOC2A_HUMAN
PTHR10024	SYNAPTOTAGMIN	DOC2B_HUMAN
PTHR10024	SYNAPTOTAGMIN	RP3A_HUMAN
PTHR10024	SYNAPTOTAGMIN	RPH3L_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT10_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT11_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT12_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT13_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT14_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT15_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT16_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT17_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT1_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT2_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT3_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT4_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT5_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT6_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT7_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT8_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYT9_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYTL1_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYTL2_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYTL3_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYTL4_HUMAN
PTHR10024	SYNAPTOTAGMIN	SYTL5_HUMAN
PTHR10024	SYNAPTOTAGMIN	TAC2N_HUMAN
PTHR10025	TETRAHYDROFOLATE DEHYDROGENASE/CYCLOHYDROLASE FAMILY MEMBER	C1TC_HUMAN
PTHR10025	TETRAHYDROFOLATE DEHYDROGENASE/CYCLOHYDROLASE FAMILY MEMBER	C1TM_HUMAN
PTHR10025	TETRAHYDROFOLATE DEHYDROGENASE/CYCLOHYDROLASE FAMILY MEMBER	MTD2L_HUMAN
PTHR10025	TETRAHYDROFOLATE DEHYDROGENASE/CYCLOHYDROLASE FAMILY MEMBER	MTDC_HUMAN
PTHR10026	CYCLIN	CCNC_HUMAN
PTHR10026	CYCLIN	CCNH_HUMAN
PTHR10026	CYCLIN	CCNK_HUMAN
PTHR10026	CYCLIN	CCNL1_HUMAN
PTHR10026	CYCLIN	CCNL2_HUMAN
PTHR10026	CYCLIN	CCNT1_HUMAN
PTHR10026	CYCLIN	CCNT2_HUMAN
PTHR10026	CYCLIN	FA58A_HUMAN
PTHR10027	CALCIUM-ACTIVATED POTASSIUM CHANNEL ALPHA CHAIN	KCMA1_HUMAN
PTHR10027	CALCIUM-ACTIVATED POTASSIUM CHANNEL ALPHA CHAIN	KCNT1_HUMAN
PTHR10027	CALCIUM-ACTIVATED POTASSIUM CHANNEL ALPHA CHAIN	KCNT2_HUMAN
PTHR10027	CALCIUM-ACTIVATED POTASSIUM CHANNEL ALPHA CHAIN	KCNU1_HUMAN
PTHR10029	ACYLPHOSPHATASE	ACYP1_HUMAN
PTHR10029	ACYLPHOSPHATASE	ACYP2_HUMAN
PTHR10030	ALPHA-L-FUCOSIDASE	FUCO2_HUMAN
PTHR10030	ALPHA-L-FUCOSIDASE	FUCO_HUMAN
PTHR10031	ATP SYNTHASE LIPID-BINDING PROTEIN, MITOCHONDRIAL	AT5G1_HUMAN
PTHR10031	ATP SYNTHASE LIPID-BINDING PROTEIN, MITOCHONDRIAL	AT5G2_HUMAN
PTHR10031	ATP SYNTHASE LIPID-BINDING PROTEIN, MITOCHONDRIAL	AT5G3_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	I3L074_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	M0QXI3_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	M1GM98_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	OVOL1_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	OVOL2_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	PEG3_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	PLAG1_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	PLAL1_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	PLAL2_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	REST_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	SCND1_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	Z518B_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	ZKSC2_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	ZN131_HUMAN
PTHR10032	ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS	ZN174_HUMAN
